2025-02-01 21:52:08.224  4795-4802  ignumberexample         com.bignumberexample                 W  ApkAssets: Deleting an ApkAssets object '<empty> and /data/app/~~RvW0JyBdDOdB_XZC-Xvyrw==/com.google.android.webview-m-AmG6O0y-Q4EvCcQLc45w==/base.apk' with 2 weak references
2025-02-01 21:52:08.337  4795-4810  EGL_emulation           com.bignumberexample                 D  app_time_stats: avg=203.23ms min=1.45ms max=3423.49ms count=17
2025-02-01 21:52:10.268  4795-4810  EGL_emulation           com.bignumberexample                 D  app_time_stats: avg=35.54ms min=1.48ms max=1085.30ms count=51
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #33 pc 00000000000925e0  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermestooling.so (offset 0x674000) (std::__ndk1::function<facebook::jsi::Value (facebook::jsi::Runtime&, facebook::jsi::Value const&, facebook::jsi::Value const*, unsigned long)>::operator()(facebook::jsi::Runtime&, facebook::jsi::Value const&, facebook::jsi::Value const*, unsigned long) const+72) (BuildId: 4f2a7f46aee6bd6c)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #34 pc 0000000000092588  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermestooling.so (offset 0x674000) (facebook::jsi::DecoratedHostFunction::operator()(facebook::jsi::Runtime&, facebook::jsi::Value const&, facebook::jsi::Value const*, unsigned long)+84) (BuildId: 4f2a7f46aee6bd6c)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #35 pc 0000000000092524  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermestooling.so (offset 0x674000) (BuildId: 4f2a7f46aee6bd6c)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #36 pc 00000000000924ac  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermestooling.so (offset 0x674000) (facebook::jsi::Value std::__ndk1::__invoke_void_return_wrapper<facebook::jsi::Value, false>::__call<facebook::jsi::DecoratedHostFunction&, facebook::jsi::Runtime&, facebook::jsi::Value const&, facebook::jsi::Value const*, unsigned long>(facebook::jsi::DecoratedHostFunction&, facebook::jsi::Runtime&, facebook::jsi::Value const&, facebook::jsi::Value const*&&, unsigned long&&)+60) (BuildId: 4f2a7f46aee6bd6c)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #37 pc 0000000000092460  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermestooling.so (offset 0x674000) (BuildId: 4f2a7f46aee6bd6c)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #38 pc 00000000000913a4  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermestooling.so (offset 0x674000) (std::__ndk1::__function::__func<facebook::jsi::DecoratedHostFunction, std::__ndk1::allocator<facebook::jsi::DecoratedHostFunction>, facebook::jsi::Value (facebook::jsi::Runtime&, facebook::jsi::Value const&, facebook::jsi::Value const*, unsigned long)>::operator()(facebook::jsi::Runtime&, facebook::jsi::Value const&, facebook::jsi::Value const*&&, unsigned long&&)+64) (BuildId: 4f2a7f46aee6bd6c)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #39 pc 00000000000e9c00  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #40 pc 000000000016a40c  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #41 pc 00000000001895a8  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #42 pc 0000000000188adc  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #43 pc 000000000016a714  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #44 pc 0000000000231e04  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.574  4855-4855  DEBUG                   crash_dump64                         A        #45 pc 000000000016a40c  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
